,userId,,company,,role,,location,,startDate,,endDate,
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kathryn,"','",Rhycero,"','",Physical Therapy Assistant,"','",Huangdu,"','",10/19/2013,"','",9/7/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mariana.Wiegand,"','",Yabox,"','",Information Systems Manager,"','",Antanifotsy,"','",10/20/1914,"','",5/23/1918,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Bulah_Carter,"','",Plajo,"','",Cost Accountant,"','",Antanifotsy,"','",5/31/1973,"','",11/26/1917,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hosea.Bayer,"','",Realmix,"','",Teacher,"','",Fauske,"','",3/13/2009,"','",7/14/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Santa.Fahey,"','",Thoughtbeat,"','",Senior Financial Analyst,"','",Mayqayyng,"','",8/18/1948,"','",8/21/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maymie.Prohaska,"','",Vinte,"','",Legal Assistant,"','",Antanifotsy,"','",5/16/1956,"','",6/1/1913,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zita_Rogahn,"','",Fanoodle,"','",Social Worker,"','",Nguigmi,"','",3/18/1993,"','",4/23/1920,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Heloise.O''Kon,"','",Skiptube,"','",Business Systems Development Analyst,"','",Antanifotsy,"','",3/20/1915,"','",12/21/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Dagmar.McDermott,"','",Vidoo,"','",Analyst Programmer,"','",Boychinovtsi,"','",11/11/1963,"','",9/1/1953,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Chanelle,"','",Mymm,"','",General Manager,"','",Aginskoye,"','",2/3/1986,"','",12/19/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sophie.Crist,"','",Youspan,"','",Pharmacist,"','",Danyang,"','",3/8/1927,"','",2/1/1958,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Grayce,"','",Dynabox,"','",Electrical Engineer,"','",Pondokdalem,"','",3/17/1964,"','",2/3/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Chet,"','",Vitz,"','",Systems Administrator I,"','",Marechal Deodoro,"','",1/7/1939,"','",2/27/1987,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hal_Hodkiewicz,"','",Jaxworks,"','",Systems Administrator II,"','",Duqiong,"','",12/14/1963,"','",2/9/1939,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sylvester_Schoen,"','",Wikido,"','",Programmer III,"','",Xiatang,"','",3/9/2007,"','",5/16/2010,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Patsy,"','",Camido,"','",Mechanical Systems Engineer,"','",Baguinge,"','",10/21/1945,"','",1/25/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Reyes.Keeling,"','",Digitube,"','",Biostatistician III,"','",Oji River,"','",5/12/1944,"','",10/13/2002,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Deven_Jacobson,"','",Bubbletube,"','",Research Nurse,"','",Aginskoye,"','",12/9/1989,"','",11/24/1952,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Chandler_Leannon,"','",Mycat,"','",Assistant Media Planner,"','",Duyure,"','",3/29/1993,"','",3/13/1999,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Walter,"','",Ailane,"','",Legal Assistant,"','",Huatajata,"','",9/7/2010,"','",1/4/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Demond,"','",Edgeblab,"','",Teacher,"','",Atsugi,"','",1/29/1928,"','",12/27/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Linwood.Brekke,"','",Fiveclub,"','",General Manager,"','",Lewoeleng,"','",12/8/1966,"','",3/21/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Bonnie.Reilly,"','",Reallinks,"','",Health Coach II,"','",Aginskoye,"','",2/20/1915,"','",11/24/1944,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aliyah,"','",Janyx,"','",Chief Design Engineer,"','",Helsingborg,"','",7/6/2009,"','",3/2/1970,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Toni.Beahan,"','",DabZ,"','",Programmer III,"','",Bayrachky,"','",8/17/1986,"','",2/16/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Brent.White,"','",Pixonyx,"','",Food Chemist,"','",Mbongawani,"','",8/23/1985,"','",11/10/1951,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Pauline,"','",Mynte,"','",Nurse,"','",Kendal,"','",11/2/1973,"','",4/1/1947,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Brigitte.Erdman,"','",Yombu,"','",Nurse Practicioner,"','",Aginskoye,"','",10/7/1923,"','",6/28/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Felipa.Goyette,"','",Brainsphere,"','",Teacher,"','",Uchiza,"','",2/17/1922,"','",3/26/1985,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Camden,"','",Gigaclub,"','",Internal Auditor,"','",Majzar,"','",3/19/1987,"','",4/15/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Julien.Murray,"','",Eadel,"','",Assistant Professor,"','",Little Rock,"','",11/27/1929,"','",4/21/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Howell,"','",Jabbercube,"','",Software Test Engineer III,"','",Colorado Springs,"','",4/28/1939,"','",2/8/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sienna.Zboncak,"','",Devbug,"','",Senior Editor,"','",Cikawunggading,"','",5/17/1945,"','",4/20/1944,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aaliyah.Buckridge,"','",Skidoo,"','",Operator,"','",San Narciso,"','",11/12/1911,"','",6/21/1931,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kevin.O''Kon,"','",Podcat,"','",Graphic Designer,"','",Can-Avid,"','",5/19/1933,"','",1/14/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Noah_Grant,"','",Meetz,"','",Developer III,"','",Kalnibolotskaya,"','",2/22/1943,"','",11/26/1982,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Oda,"','",Meeveo,"','",Human Resources Assistant II,"','",Dumalneg,"','",2/1/1950,"','",2/12/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maximus_Reynolds,"','",Feedfish,"','",Systems Administrator I,"','",Jiekeng,"','",3/7/1966,"','",5/15/1934,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hillary,"','",Brainbox,"','",Marketing Assistant,"','",Bandar-e Torkaman,"','",10/12/1973,"','",4/23/1998,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Reyna,"','",Tavu,"','",Biostatistician II,"','",Kwekwe,"','",2/14/1949,"','",2/20/1974,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mavis_Baumbach,"','",Yodo,"','",Payment Adjustment Coordinator,"','",Borzoy,"','",8/13/1920,"','",2/6/1995,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mac_Schroeder,"','",Tagfeed,"','",Senior Editor,"','",Cliza,"','",8/6/1929,"','",9/20/2009,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Stan,"','",Aibox,"','",Senior Financial Analyst,"','",Aginskoye,"','",5/7/1974,"','",9/1/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jordyn,"','",Edgepulse,"','",Junior Executive,"','",Columbus,"','",2/21/1949,"','",12/5/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Russell,"','",Browsetype,"','",Programmer Analyst IV,"','",Gornyye Klyuchi,"','",3/11/1993,"','",12/7/1934,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Madonna,"','",Meemm,"','",Occupational Therapist,"','",Poncokusumo,"','",9/15/1959,"','",3/15/1940,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maude,"','",Mycat,"','",Accountant IV,"','",Quixeramobim,"','",9/30/1990,"','",6/17/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jessy,"','",Devpulse,"','",Paralegal,"','",Phan Thong,"','",10/15/1968,"','",10/23/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rashad,"','",Oloo,"','",Librarian,"','",Lidu,"','",5/27/1933,"','",4/11/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Floy_Heidenreich,"','",Rhynoodle,"','",Food Chemist,"','",Casilda,"','",2/20/1998,"','",11/16/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Araceli.Quigley,"','",Fiveclub,"','",Safety Technician I,"','",Rufino,"','",9/28/1934,"','",6/24/1957,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Nigel,"','",Gabvine,"','",Civil Engineer,"','",Guarenas,"','",1/20/1998,"','",8/27/1951,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rowland,"','",Skimia,"','",Account Coordinator,"','",Ishurdi,"','",2/21/1989,"','",3/17/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zackery,"','",Edgepulse,"','",Editor,"','",New York City,"','",7/26/1960,"','",7/15/1943,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cary.Hoppe,"','",Leenti,"','",Information Systems Manager,"','",Zombo,"','",11/23/1935,"','",11/17/1954,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Autumn.Marks,"','",Realbuzz,"','",Data Coordiator,"','",Aginskoye,"','",5/24/1984,"','",5/20/2003,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Tony_Ratke,"','",Centizu,"','",Clinical Specialist,"','",Miandrarivo,"','",12/7/1987,"','",11/19/1911,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Felicity,"','",Jetwire,"','",Editor,"','",Dingjiayao,"','",4/9/2014,"','",2/19/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Fay,"','",Rhyzio,"','",VP Marketing,"','",Dhuusamarreeb,"','",6/10/2010,"','",11/17/1913,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ernesto,"','",Skajo,"','",Speech Pathologist,"','",Palapye,"','",9/9/1994,"','",10/17/1947,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Darryl.Bradtke,"','",Voonte,"','",Software Consultant,"','",Hartford,"','",4/29/1957,"','",1/3/2011,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Brenda.King,"','",Jaloo,"','",Senior Financial Analyst,"','",Aginskoye,"','",3/14/2014,"','",5/18/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Eleonore,"','",Skidoo,"','",Pharmacist,"','",Xiaohekou,"','",8/16/1963,"','",12/1/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Owen,"','",Realpoint,"','",Senior Editor,"','",Xiaohekou,"','",2/8/1975,"','",11/28/1931,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Laury.Schiller,"','",Avamba,"','",Human Resources Manager,"','",Aginskoye,"','",8/8/1917,"','",6/26/1961,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Shanelle_Farrell,"','",Ozu,"','",Legal Assistant,"','",Obernai,"','",8/29/1993,"','",9/1/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Margret.Sanford,"','",Centimia,"','",Geological Engineer,"','",Dijon,"','",9/25/1999,"','",8/3/2005,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rubye_Haley,"','",Twitterbeat,"','",Software Engineer IV,"','",Mangaldan,"','",11/2/1942,"','",11/19/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Magdalen,"','",Ozu,"','",VP Accounting,"','",Cihaur,"','",1/23/1954,"','",3/21/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Theodora_Schuster,"','",Devshare,"','",Data Coordiator,"','",Quzhou,"','",12/10/1910,"','",2/15/1931,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ora_Kemmer,"','",Fivebridge,"','",Environmental Specialist,"','",Ishikawa,"','",1/3/2013,"','",4/3/1952,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jackson,"','",Skippad,"','",GIS Technical Architect,"','",Alindao,"','",2/27/1955,"','",3/11/2002,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Delaney,"','",Demimbu,"','",Senior Developer,"','",Wujiayao,"','",7/30/1941,"','",12/18/1922,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Dusty.Tillman,"','",Zooveo,"','",Product Engineer,"','",Xiaohekou,"','",4/18/1960,"','",12/20/1987,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Joanny_Fay,"','",Twitterbridge,"','",Information Systems Manager,"','",Kuivaniemi,"','",12/28/1964,"','",7/28/1940,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Chauncey,"','",Yamia,"','",Design Engineer,"','",Mingcheng,"','",7/31/1983,"','",11/25/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Shirley,"','",LiveZ,"','",Dental Hygienist,"','",Port Elizabeth,"','",2/24/2004,"','",5/14/1940,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lee_Mosciski,"','",Vidoo,"','",Web Developer IV,"','",Negla,"','",11/18/2001,"','",4/4/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alexander.Marquardt,"','",Skalith,"','",Desktop Support Technician,"','",Minien East,"','",9/24/1967,"','",11/15/1943,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ben_Windler,"','",Plajo,"','",Data Coordiator,"','",Shirgjan,"','",1/21/1978,"','",2/5/1912,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zita.Adams,"','",Edgetag,"','",Nurse,"','",Xiaohekou,"','",9/22/1978,"','",2/5/1989,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Stanton_Wiegand,"','",Dabvine,"','",Assistant Manager,"','",Anjani Barat,"','",2/19/1946,"','",7/3/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aurelie,"','",Realpoint,"','",VP Marketing,"','",Canmang,"','",7/18/1917,"','",9/13/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Blair,"','",Eimbee,"','",Senior Financial Analyst,"','",Sishiba,"','",5/3/1914,"','",3/19/1982,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Nicole_Hermiston,"','",Voonder,"','",VP Sales,"','",Boden,"','",2/28/1922,"','",7/26/1992,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cesar.Schaefer,"','",Skyba,"','",Programmer Analyst IV,"','",Los Guayos,"','",5/5/1967,"','",10/22/1971,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Delpha.Lehner,"','",Wikizz,"','",Desktop Support Technician,"','",Longmiao,"','",7/27/1978,"','",11/3/1956,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Libby,"','",Youfeed,"','",Sales Representative,"','",Saraza,"','",10/27/1999,"','",8/5/1963,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kane_Schmidt,"','",Tanoodle,"','",Administrative Assistant IV,"','",Chaoyang,"','",9/30/2012,"','",7/7/1996,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Malachi_O''Reilly,"','",Wordtune,"','",Assistant Professor,"','",Non Sang,"','",8/24/1984,"','",8/16/1939,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Marisa,"','",Lazz,"','",Assistant Media Planner,"','",Xiaohekou,"','",10/17/2004,"','",11/7/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Fritz.Williamson,"','",Centizu,"','",General Manager,"','",Panaytayon,"','",10/13/1935,"','",1/28/2002,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ruben.Shanahan,"','",Kwinu,"','",Librarian,"','",Arrabal,"','",10/26/1974,"','",8/31/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Trevor_Frami,"','",Jabbertype,"','",Geologist I,"','",Barrinha,"','",7/26/2004,"','",5/5/1924,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Derrick,"','",Babbleset,"','",Programmer III,"','",Xiaohekou,"','",4/13/1981,"','",8/3/1930,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Buddy,"','",Avamm,"','",Administrative Assistant IV,"','",Santa Rita,"','",6/20/1975,"','",2/10/1912,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hollie_Reichel,"','",Vimbo,"','",Graphic Designer,"','",Cairani,"','",8/3/1929,"','",10/24/1982,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Nels.Brakus,"','",Vinte,"','",Automation Specialist I,"','",Mpanda,"','",11/7/1922,"','",12/4/1947,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Macie,"','",Demimbu,"','",Chief Design Engineer,"','",Paobulan,"','",1/2/1952,"','",11/14/1975,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cara_Wiegand,"','",Jabbertype,"','",Human Resources Assistant II,"','",Xiamazhuang,"','",12/11/1965,"','",2/22/1941,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kyla.Daniel,"','",Kwilith,"','",Quality Control Specialist,"','",Noupoort,"','",2/22/2009,"','",3/15/1972,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",King,"','",JumpXS,"','",Systems Administrator I,"','",Xiaohekou,"','",3/21/1939,"','",11/19/1987,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Daphne_Leuschke,"','",InnoZ,"','",Project Manager,"','",Zuitou,"','",12/12/1927,"','",5/25/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Creola.Cartwright,"','",Dablist,"','",Actuary,"','",Tamamura,"','",4/28/1967,"','",12/24/1998,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Selena_Metz,"','",Rhybox,"','",Software Consultant,"','",Baoxu,"','",4/15/1952,"','",3/3/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Wilmer.Romaguera,"','",Meezzy,"','",Community Outreach Specialist,"','",San Vicente,"','",9/3/1961,"','",3/25/1952,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Clotilde,"','",Jaxbean,"','",Health Coach IV,"','",Monte,"','",11/6/1957,"','",1/18/2008,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Roger_Toy,"','",Thoughtblab,"','",Software Consultant,"','",Labuhantanggabesar,"','",3/1/1924,"','",1/8/1981,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Levi_Rolfson,"','",Twitterbridge,"','",GIS Technical Architect,"','",Talangbetutu,"','",10/30/1912,"','",11/20/1939,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Willy,"','",Mudo,"','",Information Systems Manager,"','",Karlskoga,"','",6/14/1963,"','",8/5/1968,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kamren.Stokes,"','",Yombu,"','",VP Product Management,"','",Xiaohekou,"','",6/15/1940,"','",6/4/1921,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Leif_Haag,"','",Thoughtblab,"','",Programmer II,"','",Tuhe,"','",11/25/1938,"','",6/19/1939,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Korey,"','",Tanoodle,"','",Sales Representative,"','",Caraguatatuba,"','",3/29/1929,"','",7/2/1946,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Izaiah.Zieme,"','",Thoughtsphere,"','",Dental Hygienist,"','",Abaca,"','",12/24/2009,"','",8/2/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Darrell.Kilback,"','",Kanoodle,"','",Nurse,"','",Xiaohekou,"','",1/27/1927,"','",3/14/1944,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Felicia_Wunsch,"','",Plambee,"','",Social Worker,"','",Basco,"','",12/8/1934,"','",2/9/1998,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Louvenia.Kertzmann,"','",Oloo,"','",Paralegal,"','",Xiaohekou,"','",6/25/1955,"','",5/20/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Christelle,"','",Topicware,"','",Assistant Manager,"','",Yangzizhou,"','",1/22/1964,"','",3/27/1993,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kathryne,"','",Zoomcast,"','",Director of Sales,"','",Methven,"','",8/8/1924,"','",9/25/1944,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mittie,"','",Abatz,"','",Research Assistant I,"','",La Palma,"','",10/13/1924,"','",12/21/2007,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Stefan_Legros,"','",Mita,"','",Paralegal,"','",San Benito Abad,"','",5/4/1976,"','",3/30/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kaela_Rau,"','",Skippad,"','",Budget/Accounting Analyst I,"','",Methven,"','",9/8/1968,"','",3/24/2003,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Merle,"','",Fivechat,"','",Nurse,"','",Birr,"','",7/21/1957,"','",5/1/2002,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ivah_Dooley,"','",Agimba,"','",Assistant Media Planner,"','",Tyrnyauz,"','",2/26/2013,"','",1/3/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lionel_Bergnaum,"','",Meeveo,"','",Design Engineer,"','",Methven,"','",12/20/1925,"','",7/24/1992,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ervin,"','",Edgeblab,"','",Data Coordiator,"','",Chernyshkovskiy,"','",1/5/1991,"','",7/4/1974,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lexie_Daniel,"','",Twimbo,"','",Pharmacist,"','",Methven,"','",8/24/1949,"','",4/10/1942,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Guillermo,"','",Yamia,"','",Social Worker,"','",Methven,"','",9/19/1999,"','",4/24/1963,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ulises.Jast,"','",Skipfire,"','",Clinical Specialist,"','",Hankasalmi,"','",3/31/1993,"','",1/9/1971,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Grant.Stanton,"','",Oyoyo,"','",Cost Accountant,"','",Zhitan,"','",12/25/1981,"','",9/10/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Wilfred.Reinger,"','",Eadel,"','",Statistician I,"','",Woodstock,"','",7/6/1949,"','",1/25/2010,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rowena,"','",Avaveo,"','",Senior Editor,"','",Xiaoduchuan,"','",7/5/1990,"','",1/20/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mollie.Dietrich,"','",Twinte,"','",VP Quality Control,"','",Duyure,"','",3/8/2004,"','",10/2/1972,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aylin_Hodkiewicz,"','",Browsedrive,"','",Assistant Manager,"','",Sandyford,"','",1/20/1928,"','",1/22/1926,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Malcolm_Schaden,"','",Twimm,"','",Structural Analysis Engineer,"','",Zhongfeng,"','",4/16/1971,"','",9/22/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Madison.Orn,"','",Zoomzone,"','",Information Systems Manager,"','",Babo-Pangulo,"','",5/20/1968,"','",8/14/1968,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Pattie.Tremblay,"','",Bluezoom,"','",Administrative Officer,"','",Dunlewy,"','",11/10/1911,"','",2/6/1940,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hiram_Howe,"','",Browsetype,"','",Information Systems Manager,"','",Panitian,"','",4/19/1992,"','",6/27/1954,');
